state,series_id,year,month,period,period_name,avg_weekly_hours,date
Alabama,SMU01000000500000002,2022,1,M01,January,34.6,2022-01-01
Alabama,SMU01000000500000002,2022,2,M02,February,35.2,2022-02-01
Alabama,SMU01000000500000002,2022,3,M03,March,34.9,2022-03-01
Alabama,SMU01000000500000002,2022,4,M04,April,35.1,2022-04-01
Alabama,SMU01000000500000002,2022,5,M05,May,35.5,2022-05-01
Alabama,SMU01000000500000002,2022,6,M06,June,35.4,2022-06-01
Alabama,SMU01000000500000002,2022,7,M07,July,35.3,2022-07-01
Alabama,SMU01000000500000002,2022,8,M08,August,35.0,2022-08-01
Alabama,SMU01000000500000002,2022,9,M09,September,35.2,2022-09-01
Alabama,SMU01000000500000002,2022,10,M10,October,35.1,2022-10-01
Alabama,SMU01000000500000002,2022,11,M11,November,34.3,2022-11-01
Alabama,SMU01000000500000002,2022,12,M12,December,34.5,2022-12-01
Alabama,SMU01000000500000002,2023,1,M01,January,34.4,2023-01-01
Alabama,SMU01000000500000002,2023,2,M02,February,34.4,2023-02-01
Alabama,SMU01000000500000002,2023,3,M03,March,34.5,2023-03-01
Alabama,SMU01000000500000002,2023,4,M04,April,34.6,2023-04-01
Alabama,SMU01000000500000002,2023,5,M05,May,34.4,2023-05-01
Alabama,SMU01000000500000002,2023,6,M06,June,34.5,2023-06-01
Alabama,SMU01000000500000002,2023,7,M07,July,34.7,2023-07-01
Alabama,SMU01000000500000002,2023,8,M08,August,34.5,2023-08-01
Alabama,SMU01000000500000002,2023,9,M09,September,34.4,2023-09-01
Alabama,SMU01000000500000002,2023,10,M10,October,34.5,2023-10-01
Alabama,SMU01000000500000002,2023,11,M11,November,34.6,2023-11-01
Alabama,SMU01000000500000002,2023,12,M12,December,34.7,2023-12-01
Alabama,SMU01000000500000002,2024,1,M01,January,33.8,2024-01-01
Alabama,SMU01000000500000002,2024,2,M02,February,34.5,2024-02-01
Alabama,SMU01000000500000002,2024,3,M03,March,34.6,2024-03-01
Alabama,SMU01000000500000002,2024,4,M04,April,34.5,2024-04-01
Alabama,SMU01000000500000002,2024,5,M05,May,34.5,2024-05-01
Alabama,SMU01000000500000002,2024,6,M06,June,35.2,2024-06-01
Alabama,SMU01000000500000002,2024,7,M07,July,34.5,2024-07-01
Alabama,SMU01000000500000002,2024,8,M08,August,34.9,2024-08-01
Alabama,SMU01000000500000002,2024,9,M09,September,35.1,2024-09-01
Alabama,SMU01000000500000002,2024,10,M10,October,34.8,2024-10-01
Alabama,SMU01000000500000002,2024,11,M11,November,34.9,2024-11-01
Alabama,SMU01000000500000002,2024,12,M12,December,35.6,2024-12-01
Alabama,SMU01000000500000002,2025,1,M01,January,34.4,2025-01-01
Alabama,SMU01000000500000002,2025,2,M02,February,35.3,2025-02-01
Alabama,SMU01000000500000002,2025,3,M03,March,35.4,2025-03-01
Alabama,SMU01000000500000002,2025,4,M04,April,35.3,2025-04-01
Alabama,SMU01000000500000002,2025,5,M05,May,35.2,2025-05-01
Alabama,SMU01000000500000002,2025,6,M06,June,35.7,2025-06-01
Alabama,SMU01000000500000002,2025,7,M07,July,35.3,2025-07-01
Alabama,SMU01000000500000002,2025,8,M08,August,35.4,2025-08-01
Alabama,SMU01000000500000002,2025,9,M09,September,35.5,2025-09-01
Alabama,SMU01000000500000002,2025,10,M10,October,35.4,2025-10-01
Alabama,SMU01000000500000002,2025,11,M11,November,36.0,2025-11-01
