state,series_id,year,month,avg_weekly_earnings,date
Alabama,SMU01000000500000011,2022,1,978.49,2022-01-01
Alabama,SMU01000000500000011,2022,2,989.47,2022-02-01
Alabama,SMU01000000500000011,2022,3,981.04,2022-03-01
Alabama,SMU01000000500000011,2022,4,995.44,2022-04-01
Alabama,SMU01000000500000011,2022,5,1008.91,2022-05-01
Alabama,SMU01000000500000011,2022,6,994.74,2022-06-01
Alabama,SMU01000000500000011,2022,7,1002.52,2022-07-01
Alabama,SMU01000000500000011,2022,8,991.9,2022-08-01
Alabama,SMU01000000500000011,2022,9,1002.14,2022-09-01
Alabama,SMU01000000500000011,2022,10,1019.66,2022-10-01
Alabama,SMU01000000500000011,2022,11,993.33,2022-11-01
Alabama,SMU01000000500000011,2022,12,1002.92,2022-12-01
Alabama,SMU01000000500000011,2023,1,1013.42,2023-01-01
Alabama,SMU01000000500000011,2023,2,1002.07,2023-02-01
Alabama,SMU01000000500000011,2023,3,994.98,2023-03-01
Alabama,SMU01000000500000011,2023,4,1024.85,2023-04-01
Alabama,SMU01000000500000011,2023,5,1007.23,2023-05-01
Alabama,SMU01000000500000011,2023,6,1002.23,2023-06-01
Alabama,SMU01000000500000011,2023,7,1018.79,2023-07-01
Alabama,SMU01000000500000011,2023,8,1015.34,2023-08-01
Alabama,SMU01000000500000011,2023,9,1020.3,2023-09-01
Alabama,SMU01000000500000011,2023,10,1031.21,2023-10-01
Alabama,SMU01000000500000011,2023,11,1023.12,2023-11-01
Alabama,SMU01000000500000011,2023,12,1044.12,2023-12-01
Alabama,SMU01000000500000011,2024,1,1015.01,2024-01-01
Alabama,SMU01000000500000011,2024,2,1031.21,2024-02-01
Alabama,SMU01000000500000011,2024,3,1029.7,2024-03-01
Alabama,SMU01000000500000011,2024,4,1031.21,2024-04-01
Alabama,SMU01000000500000011,2024,5,1034.31,2024-05-01
Alabama,SMU01000000500000011,2024,6,1053.54,2024-06-01
Alabama,SMU01000000500000011,2024,7,1036.73,2024-07-01
Alabama,SMU01000000500000011,2024,8,1044.91,2024-08-01
Alabama,SMU01000000500000011,2024,9,1063.53,2024-09-01
Alabama,SMU01000000500000011,2024,10,1060.01,2024-10-01
Alabama,SMU01000000500000011,2024,11,1065.15,2024-11-01
Alabama,SMU01000000500000011,2024,12,1096.48,2024-12-01
Alabama,SMU01000000500000011,2025,1,1065.37,2025-01-01
Alabama,SMU01000000500000011,2025,2,1112.3,2025-02-01
Alabama,SMU01000000500000011,2025,3,1106.96,2025-03-01
Alabama,SMU01000000500000011,2025,4,1101.01,2025-04-01
Alabama,SMU01000000500000011,2025,5,1097.54,2025-05-01
Alabama,SMU01000000500000011,2025,6,1119.2,2025-06-01
Alabama,SMU01000000500000011,2025,7,1105.95,2025-07-01
Alabama,SMU01000000500000011,2025,8,1115.1,2025-08-01
Alabama,SMU01000000500000011,2025,9,1115.77,2025-09-01
Alabama,SMU01000000500000011,2025,10,1123.95,2025-10-01
Alabama,SMU01000000500000011,2025,11,1152.36,2025-11-01
Alabama,SMU01000000500000011,2025,12,1137.78,2025-12-01
Alaska,SMU02000000500000011,2022,1,1142.64,2022-01-01
Alaska,SMU02000000500000011,2022,2,1129.83,2022-02-01
Alaska,SMU02000000500000011,2022,3,1132.61,2022-03-01
Alaska,SMU02000000500000011,2022,4,1155.7,2022-04-01
Alaska,SMU02000000500000011,2022,5,1184.41,2022-05-01
Alaska,SMU02000000500000011,2022,6,1183.19,2022-06-01
Alaska,SMU02000000500000011,2022,7,1229.35,2022-07-01
Alaska,SMU02000000500000011,2022,8,1206.46,2022-08-01
Alaska,SMU02000000500000011,2022,9,1198.12,2022-09-01
Alaska,SMU02000000500000011,2022,10,1217.3,2022-10-01
Alaska,SMU02000000500000011,2022,11,1173.62,2022-11-01
Alaska,SMU02000000500000011,2022,12,1179.49,2022-12-01
Alaska,SMU02000000500000011,2023,1,1217.92,2023-01-01
Alaska,SMU02000000500000011,2023,2,1166.16,2023-02-01
Alaska,SMU02000000500000011,2023,3,1170.67,2023-03-01
Alaska,SMU02000000500000011,2023,4,1204.09,2023-04-01
Alaska,SMU02000000500000011,2023,5,1182.43,2023-05-01
Alaska,SMU02000000500000011,2023,6,1201.31,2023-06-01
Alaska,SMU02000000500000011,2023,7,1258.12,2023-07-01
Alaska,SMU02000000500000011,2023,8,1252.55,2023-08-01
Alaska,SMU02000000500000011,2023,9,1245.73,2023-09-01
Alaska,SMU02000000500000011,2023,10,1224.85,2023-10-01
Alaska,SMU02000000500000011,2023,11,1195.28,2023-11-01
Alaska,SMU02000000500000011,2023,12,1185.03,2023-12-01
Alaska,SMU02000000500000011,2024,1,1189.28,2024-01-01
Alaska,SMU02000000500000011,2024,2,1222.3,2024-02-01
Alaska,SMU02000000500000011,2024,3,1208.82,2024-03-01
Alaska,SMU02000000500000011,2024,4,1237.08,2024-04-01
Alaska,SMU02000000500000011,2024,5,1246.16,2024-05-01
Alaska,SMU02000000500000011,2024,6,1268.81,2024-06-01
Alaska,SMU02000000500000011,2024,7,1248.02,2024-07-01
Alaska,SMU02000000500000011,2024,8,1257.18,2024-08-01
Alaska,SMU02000000500000011,2024,9,1289.45,2024-09-01
Alaska,SMU02000000500000011,2024,10,1244.48,2024-10-01
Alaska,SMU02000000500000011,2024,11,1232.64,2024-11-01
Alaska,SMU02000000500000011,2024,12,1240.92,2024-12-01
Alaska,SMU02000000500000011,2025,1,1248.98,2025-01-01
Alaska,SMU02000000500000011,2025,2,1303.86,2025-02-01
Alaska,SMU02000000500000011,2025,3,1288.62,2025-03-01
Alaska,SMU02000000500000011,2025,4,1291.39,2025-04-01
Alaska,SMU02000000500000011,2025,5,1308.59,2025-05-01
Alaska,SMU02000000500000011,2025,6,1338.2,2025-06-01
Alaska,SMU02000000500000011,2025,7,1348.88,2025-07-01
Alaska,SMU02000000500000011,2025,8,1343.19,2025-08-01
Alaska,SMU02000000500000011,2025,9,1334.55,2025-09-01
Alaska,SMU02000000500000011,2025,10,1337.72,2025-10-01
Alaska,SMU02000000500000011,2025,11,1335.6,2025-11-01
Alaska,SMU02000000500000011,2025,12,1311.6,2025-12-01
Arizona,SMU04000000500000011,2022,1,1056.18,2022-01-01
Arizona,SMU04000000500000011,2022,2,1053.0,2022-02-01
Arizona,SMU04000000500000011,2022,3,1042.27,2022-03-01
Arizona,SMU04000000500000011,2022,4,1053.7,2022-04-01
Arizona,SMU04000000500000011,2022,5,1062.87,2022-05-01
Arizona,SMU04000000500000011,2022,6,1046.33,2022-06-01
Arizona,SMU04000000500000011,2022,7,1058.4,2022-07-01
Arizona,SMU04000000500000011,2022,8,1064.35,2022-08-01
Arizona,SMU04000000500000011,2022,9,1067.32,2022-09-01
Arizona,SMU04000000500000011,2022,10,1086.89,2022-10-01
Arizona,SMU04000000500000011,2022,11,1063.9,2022-11-01
Arizona,SMU04000000500000011,2022,12,1070.15,2022-12-01
Arizona,SMU04000000500000011,2023,1,1113.36,2023-01-01
Arizona,SMU04000000500000011,2023,2,1101.1,2023-02-01
Arizona,SMU04000000500000011,2023,3,1084.34,2023-03-01
Arizona,SMU04000000500000011,2023,4,1126.65,2023-04-01
Arizona,SMU04000000500000011,2023,5,1081.25,2023-05-01
Arizona,SMU04000000500000011,2023,6,1084.36,2023-06-01
Arizona,SMU04000000500000011,2023,7,1118.99,2023-07-01
Arizona,SMU04000000500000011,2023,8,1105.89,2023-08-01
Arizona,SMU04000000500000011,2023,9,1104.15,2023-09-01
Arizona,SMU04000000500000011,2023,10,1125.7,2023-10-01
Arizona,SMU04000000500000011,2023,11,1107.75,2023-11-01
Arizona,SMU04000000500000011,2023,12,1117.9,2023-12-01
