state,series_id,year,month,period,period_name,employment_rate,date
Alabama,LAUST010000000000007,2022,1,M01,January,54.7,2022-01-01
Alabama,LAUST010000000000007,2022,2,M02,February,55.0,2022-02-01
Alabama,LAUST010000000000007,2022,3,M03,March,55.5,2022-03-01
Alabama,LAUST010000000000007,2022,4,M04,April,55.5,2022-04-01
Alabama,LAUST010000000000007,2022,5,M05,May,55.6,2022-05-01
Alabama,LAUST010000000000007,2022,6,M06,June,55.3,2022-06-01
Alabama,LAUST010000000000007,2022,7,M07,July,55.3,2022-07-01
Alabama,LAUST010000000000007,2022,8,M08,August,55.2,2022-08-01
Alabama,LAUST010000000000007,2022,9,M09,September,55.1,2022-09-01
Alabama,LAUST010000000000007,2022,10,M10,October,55.4,2022-10-01
Alabama,LAUST010000000000007,2022,11,M11,November,55.3,2022-11-01
Alabama,LAUST010000000000007,2022,12,M12,December,55.4,2022-12-01
Alabama,LAUST010000000000007,2023,1,M01,January,54.8,2023-01-01
Alabama,LAUST010000000000007,2023,2,M02,February,55.1,2023-02-01
Alabama,LAUST010000000000007,2023,3,M03,March,55.6,2023-03-01
Alabama,LAUST010000000000007,2023,4,M04,April,55.9,2023-04-01
Alabama,LAUST010000000000007,2023,5,M05,May,55.7,2023-05-01
Alabama,LAUST010000000000007,2023,6,M06,June,55.6,2023-06-01
Alabama,LAUST010000000000007,2023,7,M07,July,55.8,2023-07-01
Alabama,LAUST010000000000007,2023,8,M08,August,55.7,2023-08-01
Alabama,LAUST010000000000007,2023,9,M09,September,55.6,2023-09-01
Alabama,LAUST010000000000007,2023,10,M10,October,55.9,2023-10-01
Alabama,LAUST010000000000007,2023,11,M11,November,56.0,2023-11-01
Alabama,LAUST010000000000007,2023,12,M12,December,55.6,2023-12-01
Alabama,LAUST010000000000007,2024,1,M01,January,55.2,2024-01-01
Alabama,LAUST010000000000007,2024,2,M02,February,55.4,2024-02-01
Alabama,LAUST010000000000007,2024,3,M03,March,55.8,2024-03-01
Alabama,LAUST010000000000007,2024,4,M04,April,56.0,2024-04-01
Alabama,LAUST010000000000007,2024,5,M05,May,55.8,2024-05-01
Alabama,LAUST010000000000007,2024,6,M06,June,55.7,2024-06-01
Alabama,LAUST010000000000007,2024,7,M07,July,55.9,2024-07-01
Alabama,LAUST010000000000007,2024,8,M08,August,55.7,2024-08-01
Alabama,LAUST010000000000007,2024,9,M09,September,55.8,2024-09-01
Alabama,LAUST010000000000007,2024,10,M10,October,55.9,2024-10-01
Alabama,LAUST010000000000007,2024,11,M11,November,55.8,2024-11-01
Alabama,LAUST010000000000007,2024,12,M12,December,55.8,2024-12-01
Alabama,LAUST010000000000007,2025,1,M01,January,55.5,2025-01-01
Alabama,LAUST010000000000007,2025,2,M02,February,55.9,2025-02-01
Alabama,LAUST010000000000007,2025,3,M03,March,56.1,2025-03-01
Alabama,LAUST010000000000007,2025,4,M04,April,56.8,2025-04-01
Alabama,LAUST010000000000007,2025,5,M05,May,56.4,2025-05-01
Alabama,LAUST010000000000007,2025,6,M06,June,56.3,2025-06-01
Alabama,LAUST010000000000007,2025,7,M07,July,56.1,2025-07-01
Alabama,LAUST010000000000007,2025,8,M08,August,55.8,2025-08-01
Alabama,LAUST010000000000007,2025,9,M09,September,56.0,2025-09-01
Alabama,LAUST010000000000007,2025,10,M10,October,,2025-10-01
Alabama,LAUST010000000000007,2025,11,M11,November,56.3,2025-11-01
Alabama,LAUST010000000000007,2025,12,M12,December,56.4,2025-12-01
Alaska,LAUST020000000000007,2022,1,M01,January,60.3,2022-01-01
Alaska,LAUST020000000000007,2022,2,M02,February,60.8,2022-02-01
Alaska,LAUST020000000000007,2022,3,M03,March,61.0,2022-03-01
Alaska,LAUST020000000000007,2022,4,M04,April,60.9,2022-04-01
Alaska,LAUST020000000000007,2022,5,M05,May,62.3,2022-05-01
Alaska,LAUST020000000000007,2022,6,M06,June,62.8,2022-06-01
Alaska,LAUST020000000000007,2022,7,M07,July,63.3,2022-07-01
Alaska,LAUST020000000000007,2022,8,M08,August,63.3,2022-08-01
Alaska,LAUST020000000000007,2022,9,M09,September,62.2,2022-09-01
Alaska,LAUST020000000000007,2022,10,M10,October,61.9,2022-10-01
Alaska,LAUST020000000000007,2022,11,M11,November,61.2,2022-11-01
Alaska,LAUST020000000000007,2022,12,M12,December,61.2,2022-12-01
Alaska,LAUST020000000000007,2023,1,M01,January,60.7,2023-01-01
Alaska,LAUST020000000000007,2023,2,M02,February,61.0,2023-02-01
Alaska,LAUST020000000000007,2023,3,M03,March,61.3,2023-03-01
Alaska,LAUST020000000000007,2023,4,M04,April,61.3,2023-04-01
Alaska,LAUST020000000000007,2023,5,M05,May,62.2,2023-05-01
Alaska,LAUST020000000000007,2023,6,M06,June,63.0,2023-06-01
