state,year,month,period,period_name,date,job_openings_rate
Alabama,2022,1,M01,January,2022-01-01,6.7
Alabama,2022,2,M02,February,2022-02-01,6.4
Alabama,2022,3,M03,March,2022-03-01,7.1
Alabama,2022,4,M04,April,2022-04-01,7.6
Alabama,2022,5,M05,May,2022-05-01,7.0
Alabama,2022,6,M06,June,2022-06-01,7.1
Alabama,2022,7,M07,July,2022-07-01,7.1
Alabama,2022,8,M08,August,2022-08-01,6.2
Alabama,2022,9,M09,September,2022-09-01,6.7
Alabama,2022,10,M10,October,2022-10-01,6.7
Alabama,2022,11,M11,November,2022-11-01,6.6
Alabama,2022,12,M12,December,2022-12-01,6.9
Alabama,2023,1,M01,January,2023-01-01,6.5
Alabama,2023,2,M02,February,2023-02-01,6.3
Alabama,2023,3,M03,March,2023-03-01,6.1
Alabama,2023,4,M04,April,2023-04-01,6.1
Alabama,2023,5,M05,May,2023-05-01,5.8
Alabama,2023,6,M06,June,2023-06-01,6.0
Alabama,2023,7,M07,July,2023-07-01,5.4
Alabama,2023,8,M08,August,2023-08-01,6.0
Alabama,2023,9,M09,September,2023-09-01,6.1
Alabama,2023,10,M10,October,2023-10-01,5.4
Alabama,2023,11,M11,November,2023-11-01,5.2
Alabama,2023,12,M12,December,2023-12-01,5.7
Alabama,2024,1,M01,January,2024-01-01,5.2
Alabama,2024,2,M02,February,2024-02-01,5.1
Alabama,2024,3,M03,March,2024-03-01,4.9
Alabama,2024,4,M04,April,2024-04-01,5.2
Alabama,2024,5,M05,May,2024-05-01,5.1
Alabama,2024,6,M06,June,2024-06-01,4.8
Alabama,2024,7,M07,July,2024-07-01,5.3
Alabama,2024,8,M08,August,2024-08-01,5.2
Alabama,2024,9,M09,September,2024-09-01,4.7
Alabama,2024,10,M10,October,2024-10-01,5.6
Alabama,2024,11,M11,November,2024-11-01,5.6
Alabama,2024,12,M12,December,2024-12-01,4.8
Alabama,2025,1,M01,January,2025-01-01,5.4
Alabama,2025,2,M02,February,2025-02-01,4.7
Alabama,2025,3,M03,March,2025-03-01,4.5
Alabama,2025,4,M04,April,2025-04-01,4.9
Alabama,2025,5,M05,May,2025-05-01,5.3
Alabama,2025,6,M06,June,2025-06-01,4.9
Alabama,2025,7,M07,July,2025-07-01,4.7
Alabama,2025,8,M08,August,2025-08-01,4.5
Alabama,2025,9,M09,September,2025-09-01,4.7
Alabama,2025,10,M10,October,2025-10-01,4.8
Alabama,2025,11,M11,November,2025-11-01,4.3
Alabama,2025,12,M12,December,2025-12-01,4.2
Alaska,2022,1,M01,January,2022-01-01,8.6
Alaska,2022,2,M02,February,2022-02-01,8.9
Alaska,2022,3,M03,March,2022-03-01,8.9
Alaska,2022,4,M04,April,2022-04-01,8.6
Alaska,2022,5,M05,May,2022-05-01,9.6
Alaska,2022,6,M06,June,2022-06-01,9.2
Alaska,2022,7,M07,July,2022-07-01,9.1
Alaska,2022,8,M08,August,2022-08-01,11.1
Alaska,2022,9,M09,September,2022-09-01,7.8
Alaska,2022,10,M10,October,2022-10-01,7.8
Alaska,2022,11,M11,November,2022-11-01,8.0
Alaska,2022,12,M12,December,2022-12-01,8.8
Alaska,2023,1,M01,January,2023-01-01,7.9
Alaska,2023,2,M02,February,2023-02-01,7.7
Alaska,2023,3,M03,March,2023-03-01,7.7
Alaska,2023,4,M04,April,2023-04-01,8.2
Alaska,2023,5,M05,May,2023-05-01,6.6
Alaska,2023,6,M06,June,2023-06-01,8.4
Alaska,2023,7,M07,July,2023-07-01,6.5
Alaska,2023,8,M08,August,2023-08-01,7.1
Alaska,2023,9,M09,September,2023-09-01,7.3
Alaska,2023,10,M10,October,2023-10-01,6.8
Alaska,2023,11,M11,November,2023-11-01,7.0
Alaska,2023,12,M12,December,2023-12-01,6.5
Alaska,2024,1,M01,January,2024-01-01,6.5
Alaska,2024,2,M02,February,2024-02-01,6.5
Alaska,2024,3,M03,March,2024-03-01,6.2
Alaska,2024,4,M04,April,2024-04-01,5.7
Alaska,2024,5,M05,May,2024-05-01,5.9
Alaska,2024,6,M06,June,2024-06-01,5.4
Alaska,2024,7,M07,July,2024-07-01,5.6
Alaska,2024,8,M08,August,2024-08-01,5.9
Alaska,2024,9,M09,September,2024-09-01,6.2
Alaska,2024,10,M10,October,2024-10-01,9.9
Alaska,2024,11,M11,November,2024-11-01,6.1
Alaska,2024,12,M12,December,2024-12-01,5.6
Alaska,2025,1,M01,January,2025-01-01,5.8
Alaska,2025,2,M02,February,2025-02-01,5.6
Alaska,2025,3,M03,March,2025-03-01,5.6
Alaska,2025,4,M04,April,2025-04-01,5.3
Alaska,2025,5,M05,May,2025-05-01,4.3
Alaska,2025,6,M06,June,2025-06-01,4.8
Alaska,2025,7,M07,July,2025-07-01,5.1
Alaska,2025,8,M08,August,2025-08-01,5.0
Alaska,2025,9,M09,September,2025-09-01,5.8
Alaska,2025,10,M10,October,2025-10-01,8.9
Alaska,2025,11,M11,November,2025-11-01,5.1
Alaska,2025,12,M12,December,2025-12-01,4.5
Arizona,2022,1,M01,January,2022-01-01,7.3
Arizona,2022,2,M02,February,2022-02-01,7.5
Arizona,2022,3,M03,March,2022-03-01,7.8
Arizona,2022,4,M04,April,2022-04-01,7.6
Arizona,2022,5,M05,May,2022-05-01,7.1
Arizona,2022,6,M06,June,2022-06-01,6.9
Arizona,2022,7,M07,July,2022-07-01,7.6
Arizona,2022,8,M08,August,2022-08-01,6.8
Arizona,2022,9,M09,September,2022-09-01,7.1
Arizona,2022,10,M10,October,2022-10-01,7.0
Arizona,2022,11,M11,November,2022-11-01,6.7
Arizona,2022,12,M12,December,2022-12-01,6.3
Arizona,2023,1,M01,January,2023-01-01,6.0
Arizona,2023,2,M02,February,2023-02-01,6.0
Arizona,2023,3,M03,March,2023-03-01,6.2
Arizona,2023,4,M04,April,2023-04-01,7.9
Arizona,2023,5,M05,May,2023-05-01,5.6
Arizona,2023,6,M06,June,2023-06-01,5.5
Arizona,2023,7,M07,July,2023-07-01,5.7
Arizona,2023,8,M08,August,2023-08-01,5.9
Arizona,2023,9,M09,September,2023-09-01,5.6
Arizona,2023,10,M10,October,2023-10-01,5.3
Arizona,2023,11,M11,November,2023-11-01,5.2
Arizona,2023,12,M12,December,2023-12-01,4.4
Arizona,2024,1,M01,January,2024-01-01,5.2
Arizona,2024,2,M02,February,2024-02-01,5.1
Arizona,2024,3,M03,March,2024-03-01,4.4
Arizona,2024,4,M04,April,2024-04-01,5.1
Arizona,2024,5,M05,May,2024-05-01,4.8
Arizona,2024,6,M06,June,2024-06-01,5.1
Arizona,2024,7,M07,July,2024-07-01,5.0
Arizona,2024,8,M08,August,2024-08-01,4.7
Arizona,2024,9,M09,September,2024-09-01,4.8
Arizona,2024,10,M10,October,2024-10-01,4.8
Arizona,2024,11,M11,November,2024-11-01,5.9
Arizona,2024,12,M12,December,2024-12-01,5.3
Arizona,2025,1,M01,January,2025-01-01,6.4
Arizona,2025,2,M02,February,2025-02-01,5.1
Arizona,2025,3,M03,March,2025-03-01,5.1
Arizona,2025,4,M04,April,2025-04-01,4.7
Arizona,2025,5,M05,May,2025-05-01,4.2
Arizona,2025,6,M06,June,2025-06-01,4.2
Arizona,2025,7,M07,July,2025-07-01,4.6
Arizona,2025,8,M08,August,2025-08-01,4.0
Arizona,2025,9,M09,September,2025-09-01,5.3
Arizona,2025,10,M10,October,2025-10-01,4.5
Arizona,2025,11,M11,November,2025-11-01,4.3
Arizona,2025,12,M12,December,2025-12-01,3.6
Arkansas,2022,1,M01,January,2022-01-01,6.7
Arkansas,2022,2,M02,February,2022-02-01,6.8
Arkansas,2022,3,M03,March,2022-03-01,7.5
Arkansas,2022,4,M04,April,2022-04-01,7.5
Arkansas,2022,5,M05,May,2022-05-01,7.5
Arkansas,2022,6,M06,June,2022-06-01,7.4
Arkansas,2022,7,M07,July,2022-07-01,7.1
Arkansas,2022,8,M08,August,2022-08-01,6.8
Arkansas,2022,9,M09,September,2022-09-01,6.4
Arkansas,2022,10,M10,October,2022-10-01,6.8
Arkansas,2022,11,M11,November,2022-11-01,6.7
Arkansas,2022,12,M12,December,2022-12-01,6.9
Arkansas,2023,1,M01,January,2023-01-01,6.7
Arkansas,2023,2,M02,February,2023-02-01,6.3
Arkansas,2023,3,M03,March,2023-03-01,6.7
Arkansas,2023,4,M04,April,2023-04-01,6.6
Arkansas,2023,5,M05,May,2023-05-01,6.4
Arkansas,2023,6,M06,June,2023-06-01,6.1
Arkansas,2023,7,M07,July,2023-07-01,5.0
Arkansas,2023,8,M08,August,2023-08-01,6.1
Arkansas,2023,9,M09,September,2023-09-01,6.1
Arkansas,2023,10,M10,October,2023-10-01,5.7
Arkansas,2023,11,M11,November,2023-11-01,5.2
Arkansas,2023,12,M12,December,2023-12-01,5.7
Arkansas,2024,1,M01,January,2024-01-01,5.3
Arkansas,2024,2,M02,February,2024-02-01,5.5
Arkansas,2024,3,M03,March,2024-03-01,5.3
Arkansas,2024,4,M04,April,2024-04-01,5.5
Arkansas,2024,5,M05,May,2024-05-01,5.5
Arkansas,2024,6,M06,June,2024-06-01,5.4
Arkansas,2024,7,M07,July,2024-07-01,5.2
Arkansas,2024,8,M08,August,2024-08-01,5.5
Arkansas,2024,9,M09,September,2024-09-01,6.4
Arkansas,2024,10,M10,October,2024-10-01,5.4
Arkansas,2024,11,M11,November,2024-11-01,5.9
Arkansas,2024,12,M12,December,2024-12-01,5.5
Arkansas,2025,1,M01,January,2025-01-01,5.4
Arkansas,2025,2,M02,February,2025-02-01,5.3
Arkansas,2025,3,M03,March,2025-03-01,5.0
Arkansas,2025,4,M04,April,2025-04-01,5.1
Arkansas,2025,5,M05,May,2025-05-01,5.4
Arkansas,2025,6,M06,June,2025-06-01,4.8
Arkansas,2025,7,M07,July,2025-07-01,4.8
Arkansas,2025,8,M08,August,2025-08-01,4.7
