State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
Arizona,AZ,01-2022,32.61
Arizona,AZ,01-2023,37.67
Arizona,AZ,01-2024,33.48
Arizona,AZ,01-2025,30.91
Arizona,AZ,02-2022,31.03
Arizona,AZ,02-2023,33.4
Arizona,AZ,02-2024,33.67
Arizona,AZ,02-2025,29.99
Arizona,AZ,03-2022,35.8
Arizona,AZ,03-2023,36.94
Arizona,AZ,03-2024,38.24
Arizona,AZ,03-2025,32.19
Arizona,AZ,04-2022,37.02
Arizona,AZ,04-2023,38.56
Arizona,AZ,04-2024,35.19
Arizona,AZ,04-2025,31.75
Arizona,AZ,05-2022,43.61
Arizona,AZ,05-2023,40.31
Arizona,AZ,05-2024,40.51
Arizona,AZ,05-2025,36.03
Arizona,AZ,06-2022,40.66
Arizona,AZ,06-2023,38.0
Arizona,AZ,06-2024,36.37
Arizona,AZ,06-2025,31.16
Arizona,AZ,07-2022,41.49
Arizona,AZ,07-2023,35.86
Arizona,AZ,07-2024,36.85
Arizona,AZ,07-2025,30.65
Arizona,AZ,08-2022,41.7
Arizona,AZ,08-2023,36.67
Arizona,AZ,08-2024,37.82
Arizona,AZ,08-2025,32.76
Arizona,AZ,09-2022,40.19
Arizona,AZ,09-2023,32.35
Arizona,AZ,09-2024,36.36
Arizona,AZ,09-2025,29.09
Arizona,AZ,10-2022,38.39
Arizona,AZ,10-2023,32.69
Arizona,AZ,10-2024,36.91
Arizona,AZ,10-2025,30.82
Arizona,AZ,11-2022,32.9
Arizona,AZ,11-2023,34.73
Arizona,AZ,11-2024,32.36
Arizona,AZ,11-2025,27.67
Arizona,AZ,12-2022,34.93
Arizona,AZ,12-2023,31.71
Arizona,AZ,12-2024,32.82
Arizona,AZ,12-2025,27.98
Florida,FL,01-2022,14.11
Florida,FL,01-2023,16.95
Florida,FL,01-2024,18.08
Florida,FL,01-2025,19.07
Florida,FL,02-2022,12.92
Florida,FL,02-2023,15.17
Florida,FL,02-2024,16.25
Florida,FL,02-2025,19.17
Florida,FL,03-2022,15.75
Florida,FL,03-2023,17.23
Florida,FL,03-2024,18.79
Florida,FL,03-2025,22.04
Florida,FL,04-2022,15.1
Florida,FL,04-2023,18.23
Florida,FL,04-2024,18.18
Florida,FL,04-2025,22.91
Florida,FL,05-2022,15.69
Florida,FL,05-2023,18.86
Florida,FL,05-2024,20.07
Florida,FL,05-2025,22.84
Florida,FL,06-2022,14.41
Florida,FL,06-2023,18.1
Florida,FL,06-2024,17.4
Florida,FL,06-2025,21.71
Florida,FL,07-2022,15.72
Florida,FL,07-2023,18.58
Florida,FL,07-2024,18.22
Florida,FL,07-2025,22.03
Florida,FL,08-2022,15.36
Florida,FL,08-2023,18.41
Florida,FL,08-2024,17.36
Florida,FL,08-2025,21.48
Florida,FL,09-2022,16.52
Florida,FL,09-2023,18.28
Florida,FL,09-2024,17.55
Florida,FL,09-2025,21.43
Florida,FL,10-2022,17.09
Florida,FL,10-2023,19.2
Florida,FL,10-2024,16.96
Florida,FL,10-2025,21.97
Florida,FL,11-2022,15.08
Florida,FL,11-2023,16.88
Florida,FL,11-2024,15.64
Florida,FL,11-2025,21.76
Florida,FL,12-2022,156.32
Florida,FL,12-2023,90.92
Florida,FL,12-2024,72.74
Florida,FL,12-2025,20.37
Idaho,ID,01-2022,19.82
Idaho,ID,01-2023,19.66
Idaho,ID,01-2024,17.92
Idaho,ID,01-2025,18.54
Idaho,ID,02-2022,15.54
Idaho,ID,02-2023,17.57
Idaho,ID,02-2024,16.73
Idaho,ID,02-2025,15.52
Idaho,ID,03-2022,19.41
Idaho,ID,03-2023,18.12
Idaho,ID,03-2024,20.28
Idaho,ID,03-2025,18.89
Idaho,ID,04-2022,19.76
Idaho,ID,04-2023,18.55
Idaho,ID,04-2024,18.1
Idaho,ID,04-2025,18.89
Idaho,ID,05-2022,22.88
Idaho,ID,05-2023,19.92
Idaho,ID,05-2024,19.77
Idaho,ID,05-2025,19.61
Idaho,ID,06-2022,21.3
Idaho,ID,06-2023,21.86
Idaho,ID,06-2024,20.97
Idaho,ID,06-2025,21.21
Idaho,ID,07-2022,22.85
Idaho,ID,07-2023,24.09
Idaho,ID,07-2024,24.02
Idaho,ID,07-2025,22.44
Idaho,ID,08-2022,23.06
Idaho,ID,08-2023,21.92
Idaho,ID,08-2024,22.14
Idaho,ID,08-2025,20.82
Idaho,ID,09-2022,25.07
Idaho,ID,09-2023,22.12
Idaho,ID,09-2024,20.65
