State,State_Abbreviation,Cost_of_Living_Index_2025,Top_State_Income_Tax_Rate
Alabama,AL,88.6,5.0
Alaska,AK,124.9,0.0
Arizona,AZ,110.7,2.5
Arkansas,AR,89.6,3.9
California,CA,142.3,13.3
Colorado,CO,102.7,4.4
Connecticut,CT,112.7,6.99
Delaware,DE,101.9,6.6
District of Columbia,DC,138.8,
Florida,FL,102.2,0.0
Georgia,GA,92.5,5.39
Hawaii,HI,185.0,11.0
Idaho,ID,99.9,5.695
Illinois,IL,94.7,4.95
Indiana,IN,91.0,3.0
Iowa,IA,89.7,3.8
Kansas,KS,88.8,5.58
Kentucky,KY,92.5,4.0
Louisiana,LA,92.3,3.0
Maine,ME,113.0,7.15
Maryland,MD,115.4,5.75
Massachusetts,MA,141.2,9.0
Michigan,MI,90.1,4.25
Minnesota,MN,94.6,9.85
Mississippi,MS,87.3,4.4
Missouri,MO,89.0,4.7
Montana,MT,95.5,5.9
Nebraska,NE,92.6,5.2
Nevada,NV,100.2,0.0
New Hampshire,NH,111.4,0.0
New Jersey,NJ,115.1,10.75
New Mexico,NM,93.7,5.9
New York,NY,125.1,10.9
North Carolina,NC,97.8,4.25
North Dakota,ND,91.4,2.5
Ohio,OH,94.3,3.5
Oklahoma,OK,86.0,4.75
Oregon,OR,111.8,9.9
Pennsylvania,PA,97.2,3.07
Rhode Island,RI,110.6,5.99
South Carolina,SC,94.7,6.2
South Dakota,SD,91.9,0.0
Tennessee,TN,90.3,0.0
Texas,TX,92.1,0.0
Utah,UT,102.2,4.55
Vermont,VT,113.6,8.75
Virginia,VA,100.8,5.75
Washington,WA,114.1,0.0
West Virginia,WV,88.3,4.82
Wisconsin,WI,97.7,7.65
Wyoming,WY,93.7,0.0
